[04-Jan-2023 08:39:43 UTC] PHP Parse error:  syntax error, unexpected ''clear_locals, true );' (T_ENCAPSED_AND_WHITESPACE) in D:\xampp\htdocs\ecommerce\wp-content\themes\storefront-child\functions\recently.php on line 162
[04-Jan-2023 08:39:44 UTC] PHP Parse error:  syntax error, unexpected ''clear_locals, true );' (T_ENCAPSED_AND_WHITESPACE) in D:\xampp\htdocs\ecommerce\wp-content\themes\storefront-child\functions\recently.php on line 162
[04-Jan-2023 09:00:31 UTC] PHP Deprecated:  Function The wc_add_to_cart_message filter is <strong>deprecated</strong> since version 3.0! Use wc_add_to_cart_message_html instead. in D:\xampp\htdocs\ecommerce\wp-includes\functions.php on line 5383
[04-Jan-2023 09:01:59 UTC] PHP Deprecated:  Function The wc_add_to_cart_message filter is <strong>deprecated</strong> since version 3.0! Use wc_add_to_cart_message_html instead. in D:\xampp\htdocs\ecommerce\wp-includes\functions.php on line 5383
[04-Jan-2023 09:22:49 UTC] PHP Deprecated:  Function The wc_add_to_cart_message filter is <strong>deprecated</strong> since version 3.0! Use wc_add_to_cart_message_html instead. in D:\xampp\htdocs\ecommerce\wp-includes\functions.php on line 5383
[04-Jan-2023 09:24:38 UTC] PHP Deprecated:  Function The wc_add_to_cart_message filter is <strong>deprecated</strong> since version 3.0! Use wc_add_to_cart_message_html instead. in D:\xampp\htdocs\ecommerce\wp-includes\functions.php on line 5383
[04-Jan-2023 09:24:44 UTC] PHP Deprecated:  Function The wc_add_to_cart_message filter is <strong>deprecated</strong> since version 3.0! Use wc_add_to_cart_message_html instead. in D:\xampp\htdocs\ecommerce\wp-includes\functions.php on line 5383
[04-Jan-2023 09:28:30 UTC] PHP Deprecated:  Function The wc_add_to_cart_message filter is <strong>deprecated</strong> since version 3.0! Use wc_add_to_cart_message_html instead. in D:\xampp\htdocs\ecommerce\wp-includes\functions.php on line 5383
[04-Jan-2023 09:28:46 UTC] PHP Deprecated:  Function The wc_add_to_cart_message filter is <strong>deprecated</strong> since version 3.0! Use wc_add_to_cart_message_html instead. in D:\xampp\htdocs\ecommerce\wp-includes\functions.php on line 5383
[04-Jan-2023 09:28:47 UTC] PHP Deprecated:  Function The wc_add_to_cart_message filter is <strong>deprecated</strong> since version 3.0! Use wc_add_to_cart_message_html instead. in D:\xampp\htdocs\ecommerce\wp-includes\functions.php on line 5383
[04-Jan-2023 09:30:08 UTC] PHP Deprecated:  Function The wc_add_to_cart_message filter is <strong>deprecated</strong> since version 3.0! Use wc_add_to_cart_message_html instead. in D:\xampp\htdocs\ecommerce\wp-includes\functions.php on line 5383
[04-Jan-2023 09:32:50 UTC] PHP Deprecated:  Function The wc_add_to_cart_message filter is <strong>deprecated</strong> since version 3.0! Use wc_add_to_cart_message_html instead. in D:\xampp\htdocs\ecommerce\wp-includes\functions.php on line 5383
[04-Jan-2023 09:36:01 UTC] PHP Deprecated:  Function The wc_add_to_cart_message filter is <strong>deprecated</strong> since version 3.0! Use wc_add_to_cart_message_html instead. in D:\xampp\htdocs\ecommerce\wp-includes\functions.php on line 5383
[04-Jan-2023 09:56:18 UTC] PHP Deprecated:  Function The wc_add_to_cart_message filter is <strong>deprecated</strong> since version 3.0! Use wc_add_to_cart_message_html instead. in D:\xampp\htdocs\ecommerce\wp-includes\functions.php on line 5383
[04-Jan-2023 09:56:44 UTC] PHP Deprecated:  Function The wc_add_to_cart_message filter is <strong>deprecated</strong> since version 3.0! Use wc_add_to_cart_message_html instead. in D:\xampp\htdocs\ecommerce\wp-includes\functions.php on line 5383
[05-Jan-2023 01:58:36 UTC] PHP Deprecated:  Function The wc_add_to_cart_message filter is <strong>deprecated</strong> since version 3.0! Use wc_add_to_cart_message_html instead. in D:\xampp\htdocs\ecommerce\wp-includes\functions.php on line 5383
[05-Jan-2023 09:08:42 UTC] PHP Notice:  Function wp_deregister_script was called <strong>incorrectly</strong>. Do not deregister the <code>jquery-core</code> script in the administration area. To target the front-end theme, use the <code>wp_enqueue_scripts</code> hook. Please see <a href="https://wordpress.org/support/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.6.0.) in D:\xampp\htdocs\ecommerce\wp-includes\functions.php on line 5835
[05-Jan-2023 09:08:42 UTC] PHP Notice:  Function wp_deregister_script was called <strong>incorrectly</strong>. Do not deregister the <code>jquery-migrate</code> script in the administration area. To target the front-end theme, use the <code>wp_enqueue_scripts</code> hook. Please see <a href="https://wordpress.org/support/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.6.0.) in D:\xampp\htdocs\ecommerce\wp-includes\functions.php on line 5835
[12-Jan-2023 16:56:40 UTC] PHP Notice:  Undefined index: pa_mau-sac in D:\Ampps\www\ecommerce\wp-content\themes\storefront-child\template-parts\content-quickview.php on line 7
[12-Jan-2023 16:56:40 UTC] PHP Notice:  Trying to access array offset on value of type null in D:\Ampps\www\ecommerce\wp-content\themes\storefront-child\template-parts\content-quickview.php on line 7
[12-Jan-2023 16:56:40 UTC] PHP Warning:  Invalid argument supplied for foreach() in D:\Ampps\www\ecommerce\wp-content\themes\storefront-child\template-parts\content-quickview.php on line 9
